account,acv,stage,confidence,close_date,notes
VertexSoft,51340,Closed Won,50,2025-07-21,Next step for CRM_Account_1
NimbleWorks,41303,Discovery,25,2025-05-19,Next step for CRM_Account_2
BlueFrog Systems,43177,Demo,90,2025-06-22,Next step for CRM_Account_3
IronCloud,18766,Commit,75,2025-07-21,Next step for CRM_Account_4
SmartBase,50797,Commit,75,2025-07-08,Next step for CRM_Account_5
CoreLogic AI,18135,Commit,25,2025-07-05,Next step for CRM_Account_6
BrightMap,49025,Prospecting,50,2025-06-03,Next step for CRM_Account_7
QuantumEdge,27183,Demo,75,2025-07-23,Next step for CRM_Account_8
StratusTech,25690,Commit,25,2025-07-14,Next step for CRM_Account_9
PulseWave,40871,Commit,75,2025-06-23,Next step for CRM_Account_10